26,15
------fffffffffffff-------
------fHHHHHHHHHHHf-------
------fH---------Hf-------
------fH-HHH-HHH-Hf-------
------fH-HHH-HHH-Hf-------
------fH---------Hf-------
------fH-HH---HH-Hf-------
------fH-HH-F-HH-Hf-------
------fH-HH---HH-Hf-------
------fH---------Hf-------
------fH-HHH-HHH-Hf-------
------fH-HHH-HHH-Hf-------
------fH---------Hf-------
------fHHHHHHHHHHHf-------
------fffffffffffff-------
0
60
23
9,6,0
7,5,0
9,4,0
7,2,3
10,1,6
14,3,10
14,1,10
17,5,12
17,4,14
17,6,14
14,8,17
15,8,17
15,10,18
17,12,23
16,13,25
13,11,32
13,13,32
12,13,32
10,11,35
7,12,39
7,10,42
9,10,43
10,8,45
0
